rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__alpha,param_model__learning_rate_init,params,split0_test_score,split0_train_score
1,0.4857527869825171,0.0,0.48392783914880955,0.0,56.915791749954224,0.0,0.28317952156066895,0.0,1e-12,0.009,"{'model__alpha': 1e-12, 'model__learning_rate_init': 0.009}",0.4857527869825171,0.48392783914880955
2,0.4854402687390543,0.0,0.48377693522216864,0.0,57.40787935256958,0.0,0.29384541511535645,0.0,1e-100,0.009,"{'model__alpha': 1e-100, 'model__learning_rate_init': 0.009}",0.4854402687390543,0.48377693522216864
2,0.4854402687390543,0.0,0.48377693522216864,0.0,64.94842314720154,0.0,0.3736095428466797,0.0,1e-50,0.009,"{'model__alpha': 1e-50, 'model__learning_rate_init': 0.009}",0.4854402687390543,0.48377693522216864
2,0.4854402687390543,0.0,0.48377693522216864,0.0,62.14225649833679,0.0,0.2691652774810791,0.0,1e-20,0.009,"{'model__alpha': 1e-20, 'model__learning_rate_init': 0.009}",0.4854402687390543,0.48377693522216864
5,0.4843555694242193,0.0,0.48467349953576705,0.0,71.39064240455627,0.0,0.1581892967224121,0.0,1e-12,0.015,"{'model__alpha': 1e-12, 'model__learning_rate_init': 0.015}",0.4843555694242193,0.48467349953576705
6,0.4794248931479001,0.0,0.4792032621525365,0.0,60.97457957267761,0.0,0.31333279609680176,0.0,1e-100,0.01,"{'model__alpha': 1e-100, 'model__learning_rate_init': 0.01}",0.4794248931479001,0.4792032621525365
6,0.4794248931479001,0.0,0.4792032621525365,0.0,67.7661201953888,0.0,0.27054405212402344,0.0,1e-50,0.01,"{'model__alpha': 1e-50, 'model__learning_rate_init': 0.01}",0.4794248931479001,0.4792032621525365
6,0.4794248931479001,0.0,0.4792032621525365,0.0,64.8616590499878,0.0,0.3329029083251953,0.0,1e-20,0.01,"{'model__alpha': 1e-20, 'model__learning_rate_init': 0.01}",0.4794248931479001,0.4792032621525365
6,0.4794248931479001,0.0,0.4792032621525365,0.0,56.8939688205719,0.0,0.25446176528930664,0.0,1e-12,0.01,"{'model__alpha': 1e-12, 'model__learning_rate_init': 0.01}",0.4794248931479001,0.4792032621525365
10,0.4789912407027769,0.0,0.47934474995996773,0.0,71.3576307296753,0.0,0.2820711135864258,0.0,1e-100,0.015,"{'model__alpha': 1e-100, 'model__learning_rate_init': 0.015}",0.4789912407027769,0.47934474995996773
10,0.4789912407027769,0.0,0.47934474995996773,0.0,69.45627450942993,0.0,0.244232177734375,0.0,1e-50,0.015,"{'model__alpha': 1e-50, 'model__learning_rate_init': 0.015}",0.4789912407027769,0.47934474995996773
10,0.4789912407027769,0.0,0.47934474995996773,0.0,64.75003838539124,0.0,0.29197168350219727,0.0,1e-20,0.015,"{'model__alpha': 1e-20, 'model__learning_rate_init': 0.015}",0.4789912407027769,0.47934474995996773
