rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__alpha,param_model__learning_rate_init,params,split0_test_score,split0_train_score
1,0.740498320747265,0.0,0.750716412957455,0.0,18.03205442428589,0.0,0.056085824966430664,0.0,0.001,0.005,"{'model__alpha': 0.001, 'model__learning_rate_init': 0.005}",0.740498320747265,0.750716412957455
2,0.7394190405746947,0.0,0.7550470858401581,0.0,17.36843729019165,0.0,0.06564188003540039,0.0,0.001,0.001,"{'model__alpha': 0.001, 'model__learning_rate_init': 0.001}",0.7394190405746947,0.7550470858401581
3,0.7392434579642841,0.0,0.7726794309730346,0.0,16.771633863449097,0.0,0.06511235237121582,0.0,0.0001,0.001,"{'model__alpha': 0.0001, 'model__learning_rate_init': 0.001}",0.7392434579642841,0.7726794309730346
4,0.7386219686234786,0.0,0.749621717927468,0.0,17.502665281295776,0.0,0.06399750709533691,0.0,0.0001,0.005,"{'model__alpha': 0.0001, 'model__learning_rate_init': 0.005}",0.7386219686234786,0.749621717927468
