rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__alpha,param_model__learning_rate_init,params,split0_test_score,split0_train_score
1,0.7415997553642059,0.0,0.7534714413420251,0.0,34.43257236480713,0.0,0.10450959205627441,0.0,0.001,0.005,"{'model__alpha': 0.001, 'model__learning_rate_init': 0.005}",0.7415997553642059,0.7534714413420251
2,0.7383756620728701,0.0,0.7722192465428401,0.0,31.90827989578247,0.0,0.12150430679321289,0.0,0.001,0.001,"{'model__alpha': 0.001, 'model__learning_rate_init': 0.001}",0.7383756620728701,0.7722192465428401
3,0.7382414814487075,0.0,0.752546496077634,0.0,31.95720410346985,0.0,0.10288429260253906,0.0,0.0001,0.001,"{'model__alpha': 0.0001, 'model__learning_rate_init': 0.001}",0.7382414814487075,0.752546496077634
4,0.7371670959869534,0.0,0.7454666946621291,0.0,32.509530544281006,0.0,0.14177322387695312,0.0,0.0001,0.005,"{'model__alpha': 0.0001, 'model__learning_rate_init': 0.005}",0.7371670959869534,0.7454666946621291
