method,threshold,ROC_AUC,PR_AUC,precision,recall,F1
baseline,0.5,0.7416,0.2171,0.0,0.0,0.0
SMOTE,0.5,0.6476,0.1337,0.1625,0.205,0.1813
threshold,0.1387,0.7416,0.2171,0.2236,0.4064,0.2885
